trackerType        | createThreshold    | removeThreshold    | surviveThreshold   | surviveMovePercent | minScorePrediction | maxAge             | mAP                | Elapsed time       | GTmAP              | Memory            
cached mil         |           0.200000 |           0.800000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.031580 |        1122.609437 |           0.033027 |    12945097.000000
cached csrt        |           0.400000 |           0.800000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.031431 |         292.566766 |           0.032627 |     9828827.000000
cached fake        |           0.400000 |           0.000000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.031415 |           1.890213 |           0.032597 |     7514627.000000
cached kcf         |           0.200000 |           0.800000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.031303 |          22.588414 |           0.032582 |     8638645.000000
cached mosse       |           0.400000 |           0.400000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.030441 |           1.296578 |           0.031457 |     6374351.000000
cached mosse       |           0.400000 |           0.200000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.030409 |           1.343419 |           0.031406 |     6326307.000000
cached medianflow  |           0.400000 |           0.800000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.030270 |          30.258535 |           0.031305 |     8991723.000000
cached kcf         |           0.400000 |           0.800000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.029748 |           9.778966 |           0.030796 |     7331431.000000
cached mosse       |           0.400000 |           0.800000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.029681 |           2.171369 |           0.030506 |     7227367.000000
cached mil         |           0.400000 |           0.800000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.029599 |         558.849132 |           0.030683 |    10232039.000000
cached mosse       |           0.400000 |           0.000000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.028912 |           1.640292 |           0.029839 |     6274911.000000
cached fake        |           0.400000 |           0.800000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.028336 |           3.577292 |           0.029256 |    11023035.000000
